Day,Sleep,Work,Class,Debate,Voyager,Clubs,Internship,Competitions,Research,Recruiting,Blogging,Tutoring,FoShoTrans,Exercise,Reading,Social,Planning,Meditate,Media,Mood,
12/5/2020,9,11,1.5,2,6.5,0,0,0,0,0.5,0.5,0,1.25,0.75,0.25,0,0.5,0.25,1,5,24
12/6/2020,7,10,3.75,2.5,3.75,0,0,0,0,0,0,0,1.75,1.5,0.25,2.25,0.75,0.25,0.25,7,24
12/7/2020,7.25,7.25,0.75,2,2.75,0,0,0,0,0,1.75,0,3.25,2.5,0.25,1.25,0.5,0.25,1.5,9,24
12/8/2020,8.5,10.25,3.75,4.5,0,0,0,0,0,0,1,1,1.75,0.75,0.25,0.5,1.25,0.25,0.5,8,24
12/9/2020,7.75,9.5,1.5,1.5,0,0,0,0,0,6.5,0,0,1.25,1.75,0.5,2,0.75,0.25,0.25,6,24
12/10/2020,9,11.25,3.25,2,0,0,0,0,0,5,0,1,1.25,1,0.25,0,0.75,0.25,0.25,7,24
12/11/2020,7.75,10.5,0.25,5.25,0,0.75,0,0,0,4.25,0,0,2,1.5,0.25,0,0.75,0.25,1,5,24
12/12/2020,8,9.75,1.75,8,0,0,0,0,0,0,0,0,2.5,1.5,0,0,0.25,0,2,4,24
12/13/2020,9.75,5.75,5,0,0,0,0,0,0,0,0.75,0,1.75,1.5,0.25,4,1,0,0,8,24
12/14/2020,8,8.75,5.25,3,0,0,0,0,0,0,0.5,0,2.5,2.5,0.25,0.5,0.75,0.25,0.5,6,24
12/15/2020,9,9,4.25,4.75,0,0,0,0,0,0,0,0,1.75,1.5,0.25,0,1,0,1.5,5,24
12/16/2020,8.5,9.75,9.75,0,0,0,0,0,0,0,0,0,1.75,1.5,0.25,0,1,0.25,1,5,24
12/17/2020,9,8,0.25,6.75,0,0,0,0,0,0.5,0.5,0,1.25,1,0.25,0.5,2,0.25,1.75,7,24
12/18/2020,8.75,4.5,0,3.5,0,0,0,0,0,1,0,0,2.5,1.75,0.25,2,2,0.25,2,8,24
12/19/2020,8,6.75,0,6.75,0,0,0,0,0,0,0,0,1.5,1.5,1.5,0,1.75,0.25,2.75,6,24
12/20/2020,9,6.25,0,5.5,0.5,0,0,0,0,0.25,0,0,1.5,2,0.25,3.5,1,0.25,0.25,7,24
12/21/2020,10,5.75,0,1.25,0,2,0,0,0,0.75,0.75,1,1,2,0.75,0.25,3.25,0.25,0.75,7,24
12/22/2020,8.5,5.75,0,1.75,0,0,0,0,0,1.5,1.25,1.25,2.25,2.5,0.5,1.75,1,0.25,1.5,5,24
